id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,campus
21,26BKTemp0004,4,02/16/2026 09:16 PM,02/16/2026 09:16 PM,02/16/2026 09:35 PM,Employee reported a visitor trespassing in a residence hall,LAUREL HALL,2026-02-18 21:43:32,Berks
23,26BKTemp0003,4,02/16/2026 03:30 PM,02/16/2026 03:30 PM,02/16/2026 04:30 PM,Employee reported a fire drill alarm,PEPPERWOOD HALL,2026-02-18 21:43:32,Berks
73,26BKTemp0002,4,02/14/2026 11:07 AM,02/14/2026 10:37 AM,02/14/2026 10:47 AM,Assisted an outside law enforcement agency with an investigation,HILLVALE AVE & SPOHN RD,2026-02-18 21:43:32,Berks
170,26BKtemp0001,4,02/11/2026 09:02 AM,02/11/2026 09:02 AM,,Employee reported parking concern,FACULTY STAFF VISITOR LOT B1- BERKS,2026-02-18 21:43:32,Berks
194,26BK00033,4,02/10/2026 12:17 PM,08/01/2025 12:00 AM,02/10/2026 12:55 PM,Received this department's copy of a Protection From Abuse (PFA) order,LUERSSEN SCIENCE BUILDING,2026-02-18 21:43:32,Berks
205,26BK00032,4,02/09/2026 11:24 PM,02/09/2026 11:07 PM,02/10/2026 12:30 AM,Students reported being harassed,POPLAR HALL,2026-02-18 21:43:32,Berks
215,26BK00031,4,02/09/2026 04:20 PM,02/09/2026 03:00 PM,02/09/2026 03:30 PM,Student requested assistance with a personal matter,GREENWICH ST,2026-02-18 21:43:32,Berks
252,26BK00030,4,02/08/2026 11:48 AM,02/08/2026 11:45 AM,02/08/2026 12:04 PM,Assisted an outside law enforcement agency with an investigation,PAPERMILL RD,2026-02-18 21:43:32,Berks
315,26BK00029,4,02/06/2026 03:29 PM,02/05/2026 06:00 PM,02/05/2026 07:00 PM,Student reported lost property,PERKINS STUDENT CENTER,2026-02-18 21:43:32,Berks
326,26BK00028,4,02/06/2026 10:19 AM,02/06/2026 10:19 AM,,Employee reported a parking concern,FACULTY STAFF VISITOR LOT B1 - BERKS,2026-02-18 21:43:32,Berks
327,26BK00027,4,02/06/2026 09:36 AM,02/06/2026 09:36 AM,,Employee reported a parking concern,FACULTY STAFF VISITOR LOT B2 - BERKS,2026-02-18 21:43:32,Berks
369,26BK00026,4,02/05/2026 07:50 AM,02/05/2026 07:50 AM,,Employee reported a burglary alarm activation,PERKINS STUDENT CENTER,2026-02-18 21:43:32,Berks
384,26BK00025,4,02/04/2026 04:40 PM,02/04/2026 01:00 PM,02/04/2026 03:00 PM,Student reported being harassed,LUERSSEN SCIENCE BUILDING,2026-02-18 21:43:32,Berks
